snapshot_date,primary_tag_l1,title_count,rank_score_sum,heat_value_sum,total_rank_score,rank_share,heat_share,title_count_share,rank_share_7d,heat_share_7d
2026-05-01,乡村/现实,1,96,8601,490,0.19591836734693877,0.19545506192478126,0.2,0.19591836734693877,0.19545506192478126
2026-05-02,乡村/现实,1,96,8602,490,0.19591836734693877,0.19545557827766416,0.2,0.19591836734693877,0.1954553201012227
2026-05-03,乡村/现实,1,96,8603,490,0.19591836734693877,0.19545609451323412,0.2,0.19591836734693877,0.19545557823855986
2026-05-04,乡村/现实,1,96,8604,490,0.19591836734693877,0.19545661063153114,0.2,0.19591836734693877,0.19545583633680266
2026-05-05,乡村/现实,1,96,8605,490,0.19591836734693877,0.19545712663259512,0.2,0.19591836734693877,0.19545609439596118
2026-05-06,乡村/现实,1,96,8606,490,0.19591836734693877,0.19545764251646605,0.2,0.19591836734693877,0.1954563524160453
2026-05-07,乡村/现实,1,96,8607,490,0.19591836734693877,0.19545815828318383,0.2,0.19591836734693877,0.1954566103970651
2026-05-08,乡村/现实,0,0,0,0,0.0,0.0,0.0,0.16793002915451896,0.16753445869352493
2026-05-09,乡村/现实,0,0,0,0,0.0,0.0,0.0,0.1399416909620991,0.13961223322528718
2026-05-10,乡村/现实,0,0,0,0,0.0,0.0,0.0,0.1119533527696793,0.11168993400911087
2026-05-11,乡村/现实,0,0,0,0,0.0,0.0,0.0,0.08396501457725947,0.08376756106174929
2026-05-12,乡村/现实,0,0,0,0,0.0,0.0,0.0,0.05597667638483964,0.05584511439994998
2026-05-13,乡村/现实,0,0,0,0,0.0,0.0,0.0,0.027988338192419825,0.027922594040454832
2026-05-14,乡村/现实,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-01,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-02,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-03,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-04,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-05,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-06,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-07,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-08,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-09,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-10,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-11,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-12,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-13,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-14,其他,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-01,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-02,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-03,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-04,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-05,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-06,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-07,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-05-08,古风/古代,0,0,0,0,0.0,0.0,0.0,0.0,0.0
