snapshot_date,signal_type,title,heat_w,rank_desc,metric_desc,manju_count,notes,source_url,primary_tag_l1,secondary_tags_l2,is_title_disclosed
2026-01-07,榜单排名样本,我在末世开超市，S级诡异抢着来上班,5331.0,Top1,DataEye红果漫剧热播榜Top1，热度5331W,1,DataEye红果漫剧热播榜Top1，热度5331W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,奇幻/系统,末世异能,True
2026-01-13,榜单排名样本,西游后传真假大圣,5015.0,Top1,DataEye红果漫剧热播榜Top1，热度5015W,1,DataEye红果漫剧热播榜Top1，热度5015W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-01-17,榜单排名样本,斩仙台真人AI版,5428.0,Top1,DataEye红果漫剧热播榜Top1，热度5428W,1,DataEye红果漫剧热播榜Top1，热度5428W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,奇幻/系统,,True
2026-01-21,榜单排名样本,斩仙台真人AI版,5757.0,Top1,DataEye红果漫剧热播榜Top1，热度5757W,1,DataEye红果漫剧热播榜Top1，热度5757W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,奇幻/系统,,True
2026-01-24,榜单排名样本,从赖皮蛇开始吞噬进化,5421.0,Top1,DataEye红果漫剧热播榜Top1，热度5421W,1,DataEye红果漫剧热播榜Top1，热度5421W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-01-31,播放增量信号,末日寒潮我有移动堡垒我怕谁,23700.0,1月播放增量Top1,AI仿真人漫剧，1月播放增量约2.37亿；不是红果热度口径,1,AI仿真人漫剧，1月播放增量约2.37亿；不是红果热度口径,https://www.sohu.com/a/990484220_121956424,其他,,True
2026-01-31,播放增量信号,我在末世开超市S级诡异抢着来上班,22700.0,1月播放增量Top2,2D/3D漫剧，1月播放增量约2.27亿；不是红果热度口径,1,2D/3D漫剧，1月播放增量约2.27亿；不是红果热度口径,https://www.sohu.com/a/990484220_121956424,奇幻/系统,末世异能,True
2026-01-31,播放增量信号,从赖皮蛇开始吞噬进化,21300.0,1月播放增量Top3,2D漫剧，1月播放增量约2.13亿；不是红果热度口径,1,2D漫剧，1月播放增量约2.13亿；不是红果热度口径,https://www.sohu.com/a/990484220_121956424,其他,,True
2026-02-02,榜单排名样本,这是规则怪谈啊，让我多子多福？,5205.0,Top1,DataEye红果漫剧热播榜Top1，热度5205W,1,DataEye红果漫剧热播榜Top1，热度5205W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,奇幻/系统,,True
2026-02-03,榜单排名样本,这是规则怪谈啊，让我多子多福？,5637.0,Top1,DataEye红果漫剧热播榜Top1，热度5637W,1,DataEye红果漫剧热播榜Top1，热度5637W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,奇幻/系统,,True
2026-02-10,榜单排名样本,这是规则怪谈啊，让我多子多福？,5517.0,Top1,DataEye红果漫剧热播榜Top1，热度5517W,1,DataEye红果漫剧热播榜Top1，热度5517W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,奇幻/系统,,True
2026-02-10,榜单排名样本,我的东莞姐姐,5108.0,Top2,DataEye红果漫剧热播榜Top2，热度5108W,1,DataEye红果漫剧热播榜Top2，热度5108W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-02-10,榜单排名样本,福运加冕，狼人哥哥对我追着宠,4625.0,Top3,DataEye红果漫剧热播榜Top3，热度4625W,1,DataEye红果漫剧热播榜Top3，热度4625W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-02-15,榜单排名样本,这是规则怪谈啊，让我多子多福？,5236.0,Top1/连续霸榜,红果漫剧热播榜连续霸榜14期，2月15日热度5236W,1,红果漫剧热播榜连续霸榜14期，2月15日热度5236W,https://k.sina.cn/article_7879922982_1d5ae15260190a4n1g.html,奇幻/系统,,True
2026-02-15,榜单排名样本,三千庇护,5164.0,Top2,红果漫剧热播榜2月15日Top2，热度5164W,1,红果漫剧热播榜2月15日Top2，热度5164W,https://k.sina.cn/article_7879922982_1d5ae15260190a4n1g.html,其他,,True
2026-02-17,结构信号,AI仿真人剧Top30占10席,4200.0,TOP30门槛,红果漫剧热播榜TOP30中AI仿真人剧占10席，热度值全线突破4200W,10,红果漫剧热播榜TOP30中AI仿真人剧占10席，热度值全线突破4200W,https://k.sina.cn/article_7879922982_1d5ae15260190a4n1g.html,其他,,True
2026-02-17,榜单排名样本,三千庇护,5338.0,Top2,红果漫剧热播榜2月17日Top2，热度5338W,1,红果漫剧热播榜2月17日Top2，热度5338W,https://k.sina.cn/article_7879922982_1d5ae15260190a4n1g.html,其他,,True
2026-02-23,榜单排名样本,让你悟道，没让你起飞,5292.0,Top3,DataEye红果漫剧热播榜Top3，热度5292W,1,DataEye红果漫剧热播榜Top3，热度5292W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-02-23,榜单排名样本,西游，错把玉帝当亲爹,6234.0,Top1/连续登顶7期,DataEye红果漫剧热播榜Top1，热度6234W,1,DataEye红果漫剧热播榜Top1，热度6234W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,家庭/亲情,,True
2026-02-23,榜单排名样本,气运三角洲，我凭操作吊打全球,5880.0,Top2,DataEye红果漫剧热播榜Top2，热度5880W,1,DataEye红果漫剧热播榜Top2，热度5880W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,其他,,True
2026-03-04,榜单排名样本,儿媳的重生棋局,5213.0,Top1,DataEye红果漫剧热播榜Top1，热度5213W,1,DataEye红果漫剧热播榜Top1，热度5213W,https://ent.sina.cn/2026-03-16/detail-inhrctqy2842703.d.html?vt=4,穿越/重生,重生复仇,True
2026-03-04,榜单排名样本,风雪开局：我乱世称王,5151.0,Top2,DataEye红果漫剧热播榜Top2，热度5151W,1,DataEye红果漫剧热播榜Top2，热度5151W,https://ent.sina.cn/2026-03-16/detail-inhrctqy2842703.d.html?vt=4,其他,,True
2026-03-04,榜单排名样本,西游，错把玉帝当亲爹,5061.0,Top3,DataEye红果漫剧热播榜Top3，热度5061W,1,DataEye红果漫剧热播榜Top3，热度5061W,https://ent.sina.cn/2026-03-16/detail-inhrctqy2842703.d.html?vt=4,家庭/亲情,,True
2026-03-06,榜单排名样本,诡异婚配：我诡帝，老婆软糯校花,5131.0,Top1,DataEye红果漫剧热播榜Top1，热度5131W,1,DataEye红果漫剧热播榜Top1，热度5131W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,现代情感,,True
2026-03-06,榜单排名样本,儿媳的重生棋局,5123.0,Top2,DataEye红果漫剧热播榜Top2，热度5123W,1,DataEye红果漫剧热播榜Top2，热度5123W,https://baike.baidu.com/item/DataEye%E7%BA%A2%E6%9E%9C%E6%BC%AB%E5%89%A7%E7%83%AD%E6%92%AD%E6%A6%9C/67362571,穿越/重生,重生复仇,True
