snapshot_date,completeness,source_type,top1_title,top1_heat_w,top2_title,top2_heat_w,top3_title,top3_heat_w,top30_floor_w,new_title_count,fastest_rising_title,fastest_rising_delta,fastest_rising_rank,fastest_rising_heat_w,notes,source_url
2025-04-08,partial,public_article,请君入我怀,6748.0,无上魔尊,,未知,,,19.0,,,,,听花岛《请君入我怀》持续霸榜；TOP30有19部新剧；公开摘要仅确认Top1和Top2剧名,https://www.10100.com/article/1253962
2025-04-11,full_top3,public_article,请君入我怀,4638.0,出狱当天，世间无我,4300.0,全家靠我心声逆天改命,,4000.0,20.0,,,,,TOP30复现率93.3%；前两位连续霸榜3天；免费短剧长尾效应明显,https://www.10100.com/article/1253946
2025-04-25,full_top3,public_article,心动还请告诉我,5009.0,别有用心的妻子,4690.0,纵横商海之屠龙少年,,1900.0,18.0,压寨爹爹变王爷娘亲你别晕,13.0,,1961.0,TOP30热度门槛超过1900W；新剧18部,https://m.thepaper.cn/newsDetail_forward_30721185
2025-04-27,partial,public_article,别有用心的妻子,5368.0,,,,,,,,,,,《别有用心的妻子》蝉联榜首；累计播放量约1亿；公开摘要缺Top2/Top3,https://www.10100.com/article/1254290
2025-04-28,full_top3,public_article,别有用心的妻子,5659.0,纵横商海之屠龙少年,4634.0,心动还请告诉我,,2100.0,,王妃题材新剧,15.0,,,TOP30热度门槛超过2100W；听花岛短剧继续霸榜,https://www.thepaper.cn/newsDetail_forward_30736578
2025-05-06,full_top3,public_article,栀栀复栀栀,8694.0,穿书之炮灰变身天道亲闺女,8615.0,云渺2：我修仙多年强亿点怎么了,,,29.0,狼人爹地找上门,79.0,24.0,,TOP30中新剧29部；10部萌宝题材上榜；《穿书之炮灰变身天道亲闺女》累计播放破10亿,https://www.10100.com/article/1253912
2025-05-07,full_top3,public_article,栀栀复栀栀,8450.0,云渺2：我修仙多年强亿点怎么了,8060.0,郡主十岁，我把纨绔爹养成皇帝啦！,,,29.0,重生刚想努力，父母离婚了,113.0,,,TOP30中新剧29部；重庆四月联盟3部上榜；《娇莺》连续7期TOP5,https://www.10100.com/article/1253906
2025-05-23,full_top3,public_article,月光锈,7876.0,少帅你老婆又跑了,7272.0,我是你们太奶奶，孝子贤孙都跪下,,5300.0,29.0,极品老太重生，带着儿媳奔小康,14.0,19.0,,《月光锈》连续5天榜一；3部新剧首次进入DataEye红果热榜,https://www.10100.com/article/1253854
2025-05-29,full_top3,public_article,全家听我心声觉醒了，我躺赢,7396.0,选个纨绔当爹，养成皇帝就好了,7346.0,弃娘不自弃,,5300.0,,,,,,蝉联4期榜一位置易主；新题材组合新剧飙升15名,https://www.10100.com/article/1255314
2025-06-13,partial,public_article,十八岁太奶奶驾到，重整家族荣耀,8594.0,,,撕夜,7459.0,5300.0,29.0,乡村小圣医,67.0,,5397.0,公开摘要缺Top2；《乡村小圣医》首次入榜；演员扛剧能力被重点提及,https://www.10100.com/article/1255265
2025-06-17,full_top3,public_article,十八岁太奶奶驾到，重整家族荣耀,8111.0,重生后，我选择不再原谅,6666.0,亲爱的，我要结婚了,6235.0,5300.0,25.0,乖乖入局，贺少放肆娇宠,184.0,23.0,5429.0,《十八岁太奶奶驾到，重整家族荣耀》连续5期登顶；韩雨彤新剧首次TOP3,https://www.10100.com/article/1253522
2025-07-17,full_top3,public_article,念念有词,7106.0,早逝白月光穿十一年后，成全家福星,7078.0,双面权臣暗恋我,6975.0,5400.0,,,,,,TOP30热度门槛超过5400W；《早逝白月光...》近期排名持续上冲,https://www.thepaper.cn/newsDetail_forward_31279785
2025-07-18,full_top3,public_article,早逝白月光穿十一年后，成全家福星,7062.0,念念有词,6983.0,双面权臣暗恋我,6859.0,5300.0,,她比星星耀眼,,25.0,5414.0,新剧《她比星星耀眼》空降第25位,https://www.thepaper.cn/newsDetail_forward_31279788
2025-07-30,full_top3,public_article,十八岁太奶奶驾到，重整家族荣耀第二部,11000.0,一品布衣,7356.0,当爱抵达时,,5200.0,,,,,,TOP4排名不变；听花岛占5席，德玉影视占3席,https://www.thepaper.cn/newsDetail_forward_31252330
2025-08-29,full_top3,public_article,傅爷的小青梅又飒又美,9092.0,胭脂刃,7303.0,驯野,,5400.0,,不灭神主,80.0,30.0,5400.0,《逆天萌兽：绝世妖女倾天下》空降第4，热度6935W；《掌生2：嫡女国师》第10，热度6172W,https://www.10100.com/article/5592992
2025-09-16,full_top3,public_article,真千金她是学霸,8925.0,幸得相遇离婚时,7228.0,春深锁玉郎,7123.0,5300.0,,傲世九重天,51.0,,,群像+双女主题材《姐姐结婚，我也结》空降第4，热度7071W,https://www.10100.com/article/13865857
2025-10-23,full_top3,public_article,怪她太会撒娇,7256.0,穿成炮灰女配，我成了公婆心尖宠,6847.0,九个太阳，我们是九个外甥女,6750.0,5300.0,,将军夫人有点强,172.0,21.0,5358.0,TOP30热度门槛超过5300W,https://m.thepaper.cn/newsDetail_forward_31826799
2025-10-29,full_top3,public_article,十八岁太奶奶驾到，重整家族荣耀3,15000.0,在八月盛夏,8583.0,邱秘书的婚事,7718.0,,,顾机长，太太说自己已守寡三年,127.0,20.0,,TOP3连续三期维持不变；Top1热度超1.5亿,https://m.thepaper.cn/newsDetail_forward_31856686
2025-10-31,monthly_top1,public_article,盛夏芬德拉,6373.1,,,,,,335.0,十八岁太奶奶驾到，重整家族荣耀第三部,,,20000.0,10月月度口径，不是日榜；红果短剧总热度99.28亿，较9月小幅下滑2.6%；上榜489部，其中新剧335部，占比69%；月榜榜首《盛夏芬德拉》日均热度6373.1W；《十八岁太奶奶驾到，重整家族荣耀第三部》10月27日峰值突破2亿,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656
2025-11-23,partial,public_article,未知,10000.0,,,,,,,,,,,标题级公开摘要：空降榜首，热度1亿；王培延相关新剧；缺完整Top3,https://kandian.sina.com.cn/article_7879922982_1d5ae152601909viu4.html
2025-11-30,monthly_top3,public_article,十八岁太奶奶驾到，重整家族荣耀3,6168.3,半熟老公,,霍总，夫人马甲又掉了,,,391.0,,,,,11月月度口径，不是日榜；红果短剧总热度100.23亿，时隔一个月回归百亿量级；在榜剧521部，其中新剧391部，占比75%；月榜榜首《十八岁太奶奶驾到，重整家族荣耀第三部》日均热度6168.3W；该剧10月28日登顶日榜，热度1.7亿,https://www.36kr.com/p/3606185625731585
2025-11-30,partial,public_article,未知,,,,,,,,未知短剧,60.0,,,公开摘要补充：11月30日DataEye红果热榜，3部AI漫剧闯入TOP3，另有一部短剧飙升60名；公开摘要未确认具体Top1/Top2/Top3真人短剧剧名。,https://www.thepaper.cn/newsDetail_forward_32070684
2025-12-06,full_top3,public_article,家里家外2,12000.0,天下第一纨绔,8729.0,她掌天命,6613.0,5200.0,,少帅，你的醋坛子翻了,96.0,,,《天下第一纨绔》与《纨绔皮下是阎罗》为同一部短剧不同剧名；该剧同时登上红果热度榜TOP2、DataEye短剧热力榜日榜TOP2、抖音热播榜日榜TOP1,https://m.thepaper.cn/newsDetail_forward_32119743
2026-01-25,full_top3,public_article,不完美应答,7330.0,换巢鸾凤,6419.0,夫人走的第三年,6355.0,5300.0,3.0,皇牌保镖,90.0,,,古风言情新剧《此生若得萧俞白》位列第4，热度6325W；都市情感新剧《紫罗兰之恋》空降第10，热度5830W,https://m.thepaper.cn/newsDetail_forward_32460585
2026-01-31,monthly_top1,public_article,女相师,8890.0,,,,,,425.0,夫人她专治不服3之将门捉婿,,,16200.0,1月月度口径，不是日榜；红果短剧总热度98.54亿，在榜剧567部，新剧占比75%；月榜榜首《女相师》日均热度8890W；当月6部剧热度峰值超8000W，其中《夫人她专治不服3之将门捉婿》峰值1.62亿,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656
2026-01-31,partial_top3,public_article,未知,11200.0,雪落时逢你,6530.0,京婚浓瘾,,,,,,,,公开摘要补充：红果热播榜热度洗牌，榜首热度1.12亿断层；《雪落时逢你》约6530万；《京婚浓瘾》位列第3；Top1剧名未在可检索摘要中确认。,https://www.msn.com/zh-cn/news/other/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%92%AD%E6%A6%9C%E7%83%AD%E5%BA%A6%E5%A4%A7%E6%B4%97%E7%89%8C-%E4%BA%AC%E5%A9%9A%E6%B5%93%E7%98%BE-%E4%BB%85%E7%AC%AC3-%E6%A6%9C%E9%A6%961-12%E4%BA%BF%E6%96%AD%E5%B1%82%E9%9C%B8%E6%A6%9C/ar-AA1X3vBu
2026-02-21,full_top3,public_article,十八岁太奶奶驾到，重整家族荣耀第四部,14000.0,一家三口在同班,9359.0,昼以继夜,9098.0,,6.0,,,,,《一家三口在同班》空降TOP2；同期AI仿真人漫包揽总榜TOP4,https://k.sina.cn/article_7879922982_1d5ae15260190a780c.html
2026-02-26,partial,public_article,未知,,,,,,,,重生八零，我将妻女宠上天,93.0,19.0,,日榜摘要补充：2026年2月26日，《重生八零，我将妻女宠上天》排名上升93名，位列TOP19；Top1/Top3未在公开摘要中确认,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656
2026-03-30,partial,public_article,豪门月嫂，一不小心成了全家白月光,10000.0,,,,,,,,,,,"DataEye微短剧热力榜同日：《亲爱的儿子,不要自责》登顶热力榜；《豪门月嫂》红果热榜第1，红果热度达1亿",https://baike.baidu.com/item/DataEye%E5%BE%AE%E7%9F%AD%E5%89%A7%E7%83%AD%E5%8A%9B%E6%A6%9C/67301055
2026-04-09,full_top3,public_article,人前不熟，人后上瘾,7800.0,疯美人,7385.0,"未婚妻与他人领证,我撤资离场",7258.0,,,侯府弱女?三条毒计吓哭皇帝:阳谋,32.0,4.0,6367.0,《与爱为邻》新上线空降第8，热度6030W；红果漫剧《菩提临世真人AI版》热度8658W，超过真人榜Top1,https://ent.sina.cn/2026-04-10/detail-inhtyrwh0348124.d.html
2026-05-23,partial_top2,public_article,爱在久别重逢时,8188.0,沉乔未晚,7542.0,,,5793.0,,,,,,日榜摘要补充：2026年5月23日，榜首《爱在久别重逢时》热度8188W，第二《沉乔未晚》热度7542W；榜单前十热度均超过5793W,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656
2026-05-25,partial,public_article,未知,,,,,,,,,,,,标题级公开摘要：听花岛新剧登顶红果榜，听花岛包揽前二；一AI新剧日播3.3亿,https://www.thepaper.cn/newsDetail_forward_33226293
