month,primary_tag_l1,rank_score_sum,title_count,representative_titles,share
2025-04,现代情感,12.0,2,心动还请告诉我、别有用心的妻子,0.46153846153846156
2025-04,古风/古代,6.0,1,请君入我怀,0.23076923076923078
2025-04,奇幻/系统,3.0,2,无上魔尊、全家靠我心声逆天改命,0.11538461538461539
2025-04,逆袭/爽文,3.0,1,纵横商海之屠龙少年,0.11538461538461539
2025-04,其他,2.0,1,出狱当天，世间无我,0.07692307692307693
2025-05,现代情感,9.0,2,栀栀复栀栀、月光锈,0.3673469387755102
2025-05,古风/古代,3.0,2,郡主十岁，我把纨绔爹养成皇帝啦！、少帅你老婆又跑了,0.12244897959183673
2025-05,奇幻/系统,3.0,1,云渺2：我修仙多年强亿点怎么了,0.12244897959183673
2025-05,家庭/亲情,3.0,2,我是你们太奶奶，孝子贤孙都跪下、选个纨绔当爹，养成皇帝就好了,0.12244897959183673
2025-05,逆袭/爽文,3.0,1,全家听我心声觉醒了，我躺赢,0.12244897959183673
2025-05,穿越/重生,2.0,1,穿书之炮灰变身天道亲闺女,0.08163265306122448
2025-05,其他,1.5,2,娇莺、弃娘不自弃,0.061224489795918366
2025-06,家庭/亲情,6.0,1,十八岁太奶奶驾到，重整家族荣耀,0.5714285714285714
2025-06,穿越/重生,2.0,1,重生后，我选择不再原谅,0.19047619047619047
2025-06,其他,1.0,1,撕夜,0.09523809523809523
2025-06,现代情感,1.0,1,亲爱的，我要结婚了,0.09523809523809523
2025-06,乡村/现实,0.5,1,乡村小圣医,0.047619047619047616
2025-07,家庭/亲情,8.0,2,早逝白月光穿十一年后，成全家福星、十八岁太奶奶驾到，重整家族荣耀第二部,0.42105263157894735
2025-07,现代情感,7.0,4,念念有词、早逝白月光、她比星星耀眼、当爱抵达时,0.3684210526315789
2025-07,古风/古代,4.0,2,双面权臣暗恋我、一品布衣,0.21052631578947367
2025-08,豪门/总裁,3.0,1,傅爷的小青梅又飒又美,0.42857142857142855
2025-08,古风/古代,2.0,1,胭脂刃,0.2857142857142857
2025-08,其他,1.0,1,驯野,0.14285714285714285
2025-08,奇幻/系统,1.0,2,掌生2：嫡女国师、逆天萌兽：绝世妖女倾天下,0.14285714285714285
2025-09,豪门/总裁,3.0,1,真千金她是学霸,0.46153846153846156
2025-09,现代情感,2.5,2,幸得相遇离婚时、姐姐结婚，我也结,0.38461538461538464
2025-09,古风/古代,1.0,1,春深锁玉郎,0.15384615384615385
2025-10,现代情感,9.0,4,怪她太会撒娇、在八月盛夏、邱秘书的婚事、盛夏芬德拉,0.5806451612903226
2025-10,家庭/亲情,4.5,3,九个太阳，我们是九个外甥女、十八岁太奶奶驾到，重整家族荣耀3、十八岁太奶奶驾到，重整家族荣耀第三部,0.2903225806451613
2025-10,穿越/重生,2.0,1,穿成炮灰女配，我成了公婆心尖宠,0.12903225806451613
2025-11,家庭/亲情,3.5,2,十八岁太奶奶驾到，重整家族荣耀3、十八岁太奶奶驾到，重整家族荣耀第三部,0.5384615384615384
2025-11,现代情感,2.0,1,半熟老公,0.3076923076923077
2025-11,豪门/总裁,1.0,1,霍总，夫人马甲又掉了,0.15384615384615385
2025-12,其他,3.0,1,家里家外2,0.46153846153846156
2025-12,古风/古代,2.5,2,天下第一纨绔、纨绔皮下是阎罗,0.38461538461538464
2025-12,奇幻/系统,1.0,1,她掌天命,0.15384615384615385
2026-01,其他,11.0,6,不完美应答、换巢鸾凤、此生若得萧俞白、紫罗兰之恋,0.8148148148148148
2026-01,豪门/总裁,1.5,2,夫人走的第三年、夫人她专治不服3之将门捉婿,0.1111111111111111
2026-01,现代情感,1.0,1,京婚浓瘾,0.07407407407407407
2026-02,家庭/亲情,5.0,2,十八岁太奶奶驾到，重整家族荣耀第四部、一家三口在同班,0.7692307692307693
2026-02,其他,1.0,1,昼以继夜,0.15384615384615385
2026-02,穿越/重生,0.5,1,重生八零，我将妻女宠上天,0.07692307692307693
2026-03,家庭/亲情,3.5,2,"豪门月嫂，一不小心成了全家白月光、亲爱的儿子,不要自责",0.875
2026-03,豪门/总裁,0.5,1,豪门月嫂,0.125
2026-04,现代情感,4.5,3,"人前不熟，人后上瘾、未婚妻与他人领证,我撤资离场、与爱为邻",0.6428571428571429
2026-04,其他,2.0,1,疯美人,0.2857142857142857
2026-04,奇幻/系统,0.5,1,菩提临世真人AI版,0.07142857142857142
2026-05,现代情感,3.0,1,爱在久别重逢时,0.6
2026-05,其他,2.0,1,沉乔未晚,0.4
