element,score,title_count,representative_titles
太奶奶/家族,37.0,13,全家靠我心声逆天改命、我是你们太奶奶，孝子贤孙都跪下、全家听我心声觉醒了，我躺赢、十八岁太奶奶驾到，重整家族荣耀、早逝白月光穿十一年后，成全家福星、十八岁太奶奶驾到，重整家族荣耀第二部
逆袭/爽点,28.0,8,纵横商海之屠龙少年、全家听我心声觉醒了，我躺赢、十八岁太奶奶驾到，重整家族荣耀、十八岁太奶奶驾到，重整家族荣耀第二部、真千金她是学霸、十八岁太奶奶驾到，重整家族荣耀3
婚恋关系,26.5,13,心动还请告诉我、别有用心的妻子、少帅你老婆又跑了、亲爱的，我要结婚了、当爱抵达时、幸得相遇离婚时
豪门/霸总,9.5,4,傅爷的小青梅又飒又美、真千金她是学霸、豪门月嫂，一不小心成了全家白月光、豪门月嫂
白月光,8.5,3,早逝白月光穿十一年后，成全家福星、早逝白月光、豪门月嫂，一不小心成了全家白月光
奇幻/修仙,8.0,5,无上魔尊、穿书之炮灰变身天道亲闺女、云渺2：我修仙多年强亿点怎么了、逆天萌兽：绝世妖女倾天下、菩提临世真人AI版
重生/穿书,6.5,4,穿书之炮灰变身天道亲闺女、重生后，我选择不再原谅、穿成炮灰女配，我成了公婆心尖宠、重生八零，我将妻女宠上天
古风权贵,5.5,4,郡主十岁，我把纨绔爹养成皇帝啦！、少帅你老婆又跑了、双面权臣暗恋我、掌生2：嫡女国师
萌宝/亲子,3.5,3,"郡主十岁，我把纨绔爹养成皇帝啦！、选个纨绔当爹，养成皇帝就好了、亲爱的儿子,不要自责"
AI/漫剧,0.5,1,菩提临世真人AI版
乡村/现实,0.5,1,乡村小圣医
