snapshot_date,rank,rank_score,title,heat_w,primary_tag_l1,secondary_tags_l2,source_url,completeness
2025-04-08,1,3,请君入我怀,6748.0,古风/古代,,https://www.10100.com/article/1253962,partial
2025-04-08,2,2,无上魔尊,,奇幻/系统,,https://www.10100.com/article/1253962,partial
2025-04-11,1,3,请君入我怀,4638.0,古风/古代,,https://www.10100.com/article/1253946,full_top3
2025-04-11,2,2,出狱当天，世间无我,4300.0,其他,,https://www.10100.com/article/1253946,full_top3
2025-04-11,3,1,全家靠我心声逆天改命,,奇幻/系统,,https://www.10100.com/article/1253946,full_top3
2025-04-25,1,3,心动还请告诉我,5009.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_30721185,full_top3
2025-04-25,2,2,别有用心的妻子,4690.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_30721185,full_top3
2025-04-25,3,1,纵横商海之屠龙少年,,逆袭/爽文,,https://m.thepaper.cn/newsDetail_forward_30721185,full_top3
2025-04-27,1,3,别有用心的妻子,5368.0,现代情感,,https://www.10100.com/article/1254290,partial
2025-04-28,1,3,别有用心的妻子,5659.0,现代情感,,https://www.thepaper.cn/newsDetail_forward_30736578,full_top3
2025-04-28,2,2,纵横商海之屠龙少年,4634.0,逆袭/爽文,,https://www.thepaper.cn/newsDetail_forward_30736578,full_top3
2025-04-28,3,1,心动还请告诉我,,现代情感,,https://www.thepaper.cn/newsDetail_forward_30736578,full_top3
2025-05-06,1,3,栀栀复栀栀,8694.0,现代情感,,https://www.10100.com/article/1253912,full_top3
2025-05-06,2,2,穿书之炮灰变身天道亲闺女,8615.0,穿越/重生,穿书,https://www.10100.com/article/1253912,full_top3
2025-05-06,3,1,云渺2：我修仙多年强亿点怎么了,,奇幻/系统,修仙升级,https://www.10100.com/article/1253912,full_top3
2025-05-07,1,3,栀栀复栀栀,8450.0,现代情感,,https://www.10100.com/article/1253906,full_top3
2025-05-07,2,2,云渺2：我修仙多年强亿点怎么了,8060.0,奇幻/系统,修仙升级,https://www.10100.com/article/1253906,full_top3
2025-05-07,3,1,郡主十岁，我把纨绔爹养成皇帝啦！,,古风/古代,,https://www.10100.com/article/1253906,full_top3
2025-05-23,1,3,月光锈,7876.0,现代情感,,https://www.10100.com/article/1253854,full_top3
2025-05-23,2,2,少帅你老婆又跑了,7272.0,古风/古代,,https://www.10100.com/article/1253854,full_top3
2025-05-23,3,1,我是你们太奶奶，孝子贤孙都跪下,,家庭/亲情,,https://www.10100.com/article/1253854,full_top3
2025-05-29,1,3,全家听我心声觉醒了，我躺赢,7396.0,逆袭/爽文,,https://www.10100.com/article/1255314,full_top3
2025-05-29,2,2,选个纨绔当爹，养成皇帝就好了,7346.0,家庭/亲情,,https://www.10100.com/article/1255314,full_top3
2025-05-29,3,1,弃娘不自弃,,其他,,https://www.10100.com/article/1255314,full_top3
2025-06-13,1,3,十八岁太奶奶驾到，重整家族荣耀,8594.0,家庭/亲情,,https://www.10100.com/article/1255265,partial
2025-06-13,3,1,撕夜,7459.0,其他,,https://www.10100.com/article/1255265,partial
2025-06-17,1,3,十八岁太奶奶驾到，重整家族荣耀,8111.0,家庭/亲情,,https://www.10100.com/article/1253522,full_top3
2025-06-17,2,2,重生后，我选择不再原谅,6666.0,穿越/重生,重生复仇,https://www.10100.com/article/1253522,full_top3
2025-06-17,3,1,亲爱的，我要结婚了,6235.0,现代情感,,https://www.10100.com/article/1253522,full_top3
2025-07-17,1,3,念念有词,7106.0,现代情感,,https://www.thepaper.cn/newsDetail_forward_31279785,full_top3
2025-07-17,2,2,早逝白月光穿十一年后，成全家福星,7078.0,家庭/亲情,白月光/替身,https://www.thepaper.cn/newsDetail_forward_31279785,full_top3
2025-07-17,3,1,双面权臣暗恋我,6975.0,古风/古代,权谋,https://www.thepaper.cn/newsDetail_forward_31279785,full_top3
2025-07-18,1,3,早逝白月光穿十一年后，成全家福星,7062.0,家庭/亲情,白月光/替身,https://www.thepaper.cn/newsDetail_forward_31279788,full_top3
2025-07-18,2,2,念念有词,6983.0,现代情感,,https://www.thepaper.cn/newsDetail_forward_31279788,full_top3
2025-07-18,3,1,双面权臣暗恋我,6859.0,古风/古代,权谋,https://www.thepaper.cn/newsDetail_forward_31279788,full_top3
2025-07-30,1,3,十八岁太奶奶驾到，重整家族荣耀第二部,11000.0,家庭/亲情,,https://www.thepaper.cn/newsDetail_forward_31252330,full_top3
2025-07-30,2,2,一品布衣,7356.0,古风/古代,,https://www.thepaper.cn/newsDetail_forward_31252330,full_top3
2025-07-30,3,1,当爱抵达时,,现代情感,,https://www.thepaper.cn/newsDetail_forward_31252330,full_top3
2025-08-29,1,3,傅爷的小青梅又飒又美,9092.0,豪门/总裁,,https://www.10100.com/article/5592992,full_top3
2025-08-29,2,2,胭脂刃,7303.0,古风/古代,,https://www.10100.com/article/5592992,full_top3
2025-08-29,3,1,驯野,,其他,,https://www.10100.com/article/5592992,full_top3
2025-09-16,1,3,真千金她是学霸,8925.0,豪门/总裁,豪门恩怨,https://www.10100.com/article/13865857,full_top3
2025-09-16,2,2,幸得相遇离婚时,7228.0,现代情感,,https://www.10100.com/article/13865857,full_top3
2025-09-16,3,1,春深锁玉郎,7123.0,古风/古代,,https://www.10100.com/article/13865857,full_top3
2025-10-23,1,3,怪她太会撒娇,7256.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_31826799,full_top3
2025-10-23,2,2,穿成炮灰女配，我成了公婆心尖宠,6847.0,穿越/重生,,https://m.thepaper.cn/newsDetail_forward_31826799,full_top3
2025-10-23,3,1,九个太阳，我们是九个外甥女,6750.0,家庭/亲情,,https://m.thepaper.cn/newsDetail_forward_31826799,full_top3
2025-10-29,1,3,十八岁太奶奶驾到，重整家族荣耀3,15000.0,家庭/亲情,,https://m.thepaper.cn/newsDetail_forward_31856686,full_top3
2025-10-29,2,2,在八月盛夏,8583.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_31856686,full_top3
2025-10-29,3,1,邱秘书的婚事,7718.0,现代情感,,https://m.thepaper.cn/newsDetail_forward_31856686,full_top3
2025-10-31,1,3,盛夏芬德拉,6373.1,现代情感,,https://baike.baidu.com/item/%E7%BA%A2%E6%9E%9C%E7%83%AD%E6%A6%9C/67362656,monthly_top1
2025-11-30,1,3,十八岁太奶奶驾到，重整家族荣耀3,6168.3,家庭/亲情,,https://www.36kr.com/p/3606185625731585,monthly_top3
2025-11-30,2,2,半熟老公,,现代情感,,https://www.36kr.com/p/3606185625731585,monthly_top3
2025-11-30,3,1,霍总，夫人马甲又掉了,,豪门/总裁,霸总甜虐,https://www.36kr.com/p/3606185625731585,monthly_top3
