snapshot_date,rank,title,heat_value,source_tags,synopsis
2026-05-01,1,闪婚后总裁老公天天宠,9001,"总裁,闪婚",先婚后爱甜宠
2026-05-01,2,重生后我在侯府杀疯了,8901,"重生,侯府",重生复仇古风
2026-05-01,3,团宠萌宝帮妈妈打脸,8801,"萌宝,亲情",团宠萌宝亲情
2026-05-01,4,末世觉醒后我绑定神豪系统,8701,"末世,系统",末世系统爽文
2026-05-01,5,山村神医从退婚开始,8601,"乡村,神医",乡村逆袭
2026-05-02,1,闪婚后总裁老公天天宠,9002,"总裁,闪婚",先婚后爱甜宠
2026-05-02,2,重生后我在侯府杀疯了,8902,"重生,侯府",重生复仇古风
2026-05-02,3,团宠萌宝帮妈妈打脸,8802,"萌宝,亲情",团宠萌宝亲情
2026-05-02,4,末世觉醒后我绑定神豪系统,8702,"末世,系统",末世系统爽文
2026-05-02,5,山村神医从退婚开始,8602,"乡村,神医",乡村逆袭
2026-05-03,1,闪婚后总裁老公天天宠,9003,"总裁,闪婚",先婚后爱甜宠
2026-05-03,2,重生后我在侯府杀疯了,8903,"重生,侯府",重生复仇古风
2026-05-03,3,团宠萌宝帮妈妈打脸,8803,"萌宝,亲情",团宠萌宝亲情
2026-05-03,4,末世觉醒后我绑定神豪系统,8703,"末世,系统",末世系统爽文
2026-05-03,5,山村神医从退婚开始,8603,"乡村,神医",乡村逆袭
2026-05-04,1,闪婚后总裁老公天天宠,9004,"总裁,闪婚",先婚后爱甜宠
2026-05-04,2,重生后我在侯府杀疯了,8904,"重生,侯府",重生复仇古风
2026-05-04,3,团宠萌宝帮妈妈打脸,8804,"萌宝,亲情",团宠萌宝亲情
2026-05-04,4,末世觉醒后我绑定神豪系统,8704,"末世,系统",末世系统爽文
2026-05-04,5,山村神医从退婚开始,8604,"乡村,神医",乡村逆袭
2026-05-05,1,闪婚后总裁老公天天宠,9005,"总裁,闪婚",先婚后爱甜宠
2026-05-05,2,重生后我在侯府杀疯了,8905,"重生,侯府",重生复仇古风
2026-05-05,3,团宠萌宝帮妈妈打脸,8805,"萌宝,亲情",团宠萌宝亲情
2026-05-05,4,末世觉醒后我绑定神豪系统,8705,"末世,系统",末世系统爽文
2026-05-05,5,山村神医从退婚开始,8605,"乡村,神医",乡村逆袭
2026-05-06,1,闪婚后总裁老公天天宠,9006,"总裁,闪婚",先婚后爱甜宠
2026-05-06,2,重生后我在侯府杀疯了,8906,"重生,侯府",重生复仇古风
2026-05-06,3,团宠萌宝帮妈妈打脸,8806,"萌宝,亲情",团宠萌宝亲情
2026-05-06,4,末世觉醒后我绑定神豪系统,8706,"末世,系统",末世系统爽文
2026-05-06,5,山村神医从退婚开始,8606,"乡村,神医",乡村逆袭
2026-05-07,1,闪婚后总裁老公天天宠,9007,"总裁,闪婚",先婚后爱甜宠
2026-05-07,2,重生后我在侯府杀疯了,8907,"重生,侯府",重生复仇古风
2026-05-07,3,团宠萌宝帮妈妈打脸,8807,"萌宝,亲情",团宠萌宝亲情
2026-05-07,4,末世觉醒后我绑定神豪系统,8707,"末世,系统",末世系统爽文
2026-05-07,5,山村神医从退婚开始,8607,"乡村,神医",乡村逆袭
2026-05-08,1,闪婚后总裁老公天天宠,9008,"总裁,闪婚",先婚后爱甜宠
2026-05-08,2,重生后我在侯府杀疯了,8908,"重生,侯府",重生复仇古风
2026-05-08,3,团宠萌宝帮妈妈打脸,8808,"萌宝,亲情",团宠萌宝亲情
2026-05-08,4,末世觉醒后我绑定神豪系统,8708,"末世,系统",末世系统爽文
2026-05-08,5,穿书后我被摄政王宠上天,8658,"穿书,摄政王",穿书古风甜宠
2026-05-09,1,闪婚后总裁老公天天宠,9009,"总裁,闪婚",先婚后爱甜宠
2026-05-09,2,重生后我在侯府杀疯了,8909,"重生,侯府",重生复仇古风
2026-05-09,3,团宠萌宝帮妈妈打脸,8809,"萌宝,亲情",团宠萌宝亲情
2026-05-09,4,末世觉醒后我绑定神豪系统,8709,"末世,系统",末世系统爽文
2026-05-09,5,穿书后我被摄政王宠上天,8659,"穿书,摄政王",穿书古风甜宠
2026-05-10,1,闪婚后总裁老公天天宠,9010,"总裁,闪婚",先婚后爱甜宠
2026-05-10,2,重生后我在侯府杀疯了,8910,"重生,侯府",重生复仇古风
2026-05-10,3,团宠萌宝帮妈妈打脸,8810,"萌宝,亲情",团宠萌宝亲情
2026-05-10,4,末世觉醒后我绑定神豪系统,8710,"末世,系统",末世系统爽文
2026-05-10,5,穿书后我被摄政王宠上天,8660,"穿书,摄政王",穿书古风甜宠
2026-05-11,1,闪婚后总裁老公天天宠,9011,"总裁,闪婚",先婚后爱甜宠
2026-05-11,2,重生后我在侯府杀疯了,8911,"重生,侯府",重生复仇古风
2026-05-11,3,团宠萌宝帮妈妈打脸,8811,"萌宝,亲情",团宠萌宝亲情
2026-05-11,4,末世觉醒后我绑定神豪系统,8711,"末世,系统",末世系统爽文
2026-05-11,5,穿书后我被摄政王宠上天,8661,"穿书,摄政王",穿书古风甜宠
2026-05-12,1,闪婚后总裁老公天天宠,9012,"总裁,闪婚",先婚后爱甜宠
2026-05-12,2,重生后我在侯府杀疯了,8912,"重生,侯府",重生复仇古风
2026-05-12,3,团宠萌宝帮妈妈打脸,8812,"萌宝,亲情",团宠萌宝亲情
2026-05-12,4,末世觉醒后我绑定神豪系统,8712,"末世,系统",末世系统爽文
2026-05-12,5,穿书后我被摄政王宠上天,8662,"穿书,摄政王",穿书古风甜宠
2026-05-13,1,闪婚后总裁老公天天宠,9013,"总裁,闪婚",先婚后爱甜宠
2026-05-13,2,重生后我在侯府杀疯了,8913,"重生,侯府",重生复仇古风
2026-05-13,3,团宠萌宝帮妈妈打脸,8813,"萌宝,亲情",团宠萌宝亲情
2026-05-13,4,末世觉醒后我绑定神豪系统,8713,"末世,系统",末世系统爽文
2026-05-13,5,穿书后我被摄政王宠上天,8663,"穿书,摄政王",穿书古风甜宠
2026-05-14,1,闪婚后总裁老公天天宠,9014,"总裁,闪婚",先婚后爱甜宠
2026-05-14,2,重生后我在侯府杀疯了,8914,"重生,侯府",重生复仇古风
2026-05-14,3,团宠萌宝帮妈妈打脸,8814,"萌宝,亲情",团宠萌宝亲情
2026-05-14,4,末世觉醒后我绑定神豪系统,8714,"末世,系统",末世系统爽文
2026-05-14,5,穿书后我被摄政王宠上天,8664,"穿书,摄政王",穿书古风甜宠
